"Region.Code","County.Name","Municipality","Location","Route.Carried.and.Reference.Marker","Owner","Year.Built","Date.Last.Inspected","SD.FO.Status","Condition.Rating"
8,"DUTCHESS","Pleasant Valley  (Town)","1 MI E OF PLEASANT VALLEY","MILL LANE","County",1929,"05/15/2013","SD",4.048
8,"DUTCHESS","Pleasant Valley  (Town)","2 MI SW JCT Rt.115 & CR 1","SALT POINT TPK.","NYSDoT",1992,"04/10/2013","N",6.704
8,"DUTCHESS","Poughkeepsie  (City)","JCT US 9 & US 44 / SH 55 ","44   44 82021004","NYSDoT",1965,"11/24/2014","FO",4.078
8,"DUTCHESS","Poughkeepsie  (City)","1.2 MI E JCT 44+HUDSON R ","44  X","NYSDoT",1977,"04/09/2013","N",5.906
8,"DUTCHESS","Poughkeepsie  (City)","1 MI E JCT US44 & HUD RVR","44  X","NYSDoT",1977,"07/08/2013","N",4.841
8,"DUTCHESS","Poughkeepsie  (City)","JCT RTS 9+376            ","9    9 82052004","NYSDoT",1965,"05/02/2014","N",4.672
8,"DUTCHESS","Poughkeepsie  (City)","0.3 MI N JCT RTS 9+376   ","9    9 82052007","NYSDoT",1965,"04/25/2013","N",5.172
8,"DUTCHESS","Poughkeepsie  (City)","0.8 MI N JCT RTS 9+376   ","9    9 82052012","NYSDoT",1965,"07/17/2013","FO",5.317
8,"DUTCHESS","Poughkeepsie  (City)","1.0 MI N JCT RTS 9+376   ","9    9 82052015","NYSDoT",1965,"11/13/2013","N",4.75
8,"DUTCHESS","Poughkeepsie  (City)","1.0 MI N JCT RTS 9+376   ","9    9 82052015","NYSDoT",1965,"11/13/2013","N",4.781
8,"DUTCHESS","Poughkeepsie  (City)","0.2 MI N JCT RTS 9+44+55 ","9    9 82052018","NYSDoT",1965,"11/18/2014","N",4.609
8,"DUTCHESS","Poughkeepsie  (City)","0.2 MI N JCT RTS 9+44+55 ","9    9 82052018","NYSDoT",1965,"11/19/2013","N",4.813
8,"DUTCHESS","Poughkeepsie  (City)","0.3 MI N JCT RTS 9+44+55 ","9    9 82052019","NYSDoT",1966,"07/21/2014","SD",4.266
8,"DUTCHESS","Poughkeepsie  (City)","0.4 MI N JCT RTS 9+44+55 ","9    9 82052020","NYSDoT",1966,"06/27/2013","N",5.433
8,"DUTCHESS","Poughkeepsie  (City)","1 MI N JCT SH 55 & SH 9G","9G X","Railroad",1995,"10/04/2013","FO",5.861
8,"DUTCHESS","Poughkeepsie  (City)","IN POUGHKEEPSIE          ","CATHERINE STREET","City",1930,"06/04/2013","FO",5.083
8,"DUTCHESS","Poughkeepsie  (City)","IN POUGHKEEPSIE","CLINTON STREET","Railroad",1917,"08/08/2013","FO",5.216
8,"DUTCHESS","Poughkeepsie  (City)",".7 MI N JCT US 9 & SH 376","COLUMBIA STREET","NYSDoT",1965,"09/05/2013","FO",4.983
8,"DUTCHESS","Poughkeepsie  (City)","IN THE CITY OF PO:KEEPSIE","DAVIS STREET","City",1911,"05/21/2013","FO",4.528
8,"DUTCHESS","Poughkeepsie  (City)","IN POUGHKEEPSIE          ","GARDEN STREET","City",1930,"06/13/2013","N",5.1
8,"DUTCHESS","Poughkeepsie  (City)","IN THE CITY OF PO:KEEPSIE","HIGH STREET","City",1901,"06/13/2013","SD",4.333
8,"DUTCHESS","Poughkeepsie  (City)","0.7 MI JCT US 9/44 & SH 5","HOFFMAN  STREET","Railroad",2012,"10/10/2014","N",6.188
8,"DUTCHESS","Poughkeepsie  (City)",".7 MI N JCT US9/44 & SH55","HOFFMAN STREET","NYSDoT",1966,"10/22/2013","FO",5.083
8,"DUTCHESS","Poughkeepsie  (City)","IN THE CITY OF PO:KEEPSIE","LAUREL STREET","Railroad",1933,"10/10/2014","FO",5.792
8,"DUTCHESS","Poughkeepsie  (City)","CITY OF POUGHKEEPSIE     ","MAIN STREET","City",1980,"06/10/2013","FO",4.389
8,"DUTCHESS","Poughkeepsie  (City)","CITY OF POUGHKEEPSIE     ","MANSION STREET","City",2002,"06/11/2013","N",6.553
8,"DUTCHESS","Poughkeepsie  (City)","CITY OF POUGHKEEPSIE     ","MANSION STREET","City",1920,"05/15/2013","N",3.944
8,"DUTCHESS","Poughkeepsie  (City)","IN POUGHKEEPSIE          ","MILL STREET","City",1930,"05/15/2014","N",4.467
8,"DUTCHESS","Poughkeepsie  (City)","IN POUGHKEEPSIE          ","NO CHERRY STREET","City",1978,"06/04/2013","FO",4.95
8,"DUTCHESS","Poughkeepsie  (City)","IN THE CITY OF PO:KEEPSIE","NORTH BRIDGE ST.","City",1965,"04/16/2013","N",4.611
8,"DUTCHESS","Poughkeepsie  (City)","IN POUGHKEEPSIE          ","NORTH HAMILTON ST","City",1955,"05/03/2013","FO",4.891
8,"DUTCHESS","Poughkeepsie  (City)","IN THE CITY OF PO:KEEPSIE","NORTH WATER ST","City",1930,"06/18/2013","FO",5.417
8,"DUTCHESS","Poughkeepsie  (City)","IN THE CITY OF PO:KEEPSIE","WASHINGTON STREET","City",1925,"06/26/2014","SD",3.773
8,"DUTCHESS","Poughkeepsie  (City)","IN POUGHKEEPSIE          ","WHITE STREET","City",1930,"06/04/2013","FO",5.033
8,"DUTCHESS","Poughkeepsie  (Town)","3.0 MI N JCT RTS 9 + 9D  ","113  113 82011001","NYSDoT",1958,"11/26/2013","FO",4.281
8,"DUTCHESS","Poughkeepsie  (Town)","AT POUGHKEEPSIE          ","115  X","NYSDoT",1940,"07/08/2013","FO",5.25
8,"DUTCHESS","Poughkeepsie  (Town)",".25 MI E JCT US44 & SH55 ","44   44 82022010","NYSDoT",1979,"04/25/2013","N",4.831
8,"DUTCHESS","Poughkeepsie  (Town)","JCT RTS 55&44 E OF POUGHK","55   55 82032006","NYSDoT",1979,"12/12/2013","N",5.627
8,"DUTCHESS","Poughkeepsie  (Town)","1.6 MI E JCT US 44 & SH55","55   55 82032023","NYSDoT",1998,"06/11/2013","N",6.255
8,"DUTCHESS","Poughkeepsie  (Town)","1.6 MI N of JCT RTS. 9 &","9","NYSDoT",2011,"09/11/2013","N",7
8,"DUTCHESS","Poughkeepsie  (Town)","1.2 MI N JCT US9/ SH44&55","9    9 82053003","NYSDoT",1995,"05/20/2014","FO",5.722
8,"DUTCHESS","Poughkeepsie  (Town)","JCT RTS 55&44 E OF POUGHK","983W 983W82011001","NYSDoT",1979,"04/23/2013","N",4.972
8,"DUTCHESS","Poughkeepsie  (Town)",".1 MI S JCT US 9 & SH 9G","9G   9G82011003","NYSDoT",1985,"04/09/2013","FO",5.024
8,"DUTCHESS","Poughkeepsie  (Town)","1.1 MI NW JCT CRs 28 & 91","BRIDGE STREET","Railroad",2014,"10/08/2014","N",7
8,"DUTCHESS","Poughkeepsie  (Town)","0.8 MI W OF HUGHSONVILLE ","COUNTY ROAD 28","County",1965,"12/19/2014","FO",4.531
8,"DUTCHESS","Poughkeepsie  (Town)","1 MILE NE OF POUGHKEEPSIE","CREEK ROAD","County",1963,"05/13/2013","FO",5.283
8,"DUTCHESS","Poughkeepsie  (Town)","IN NEW HAMBURG","Reed Avenue","Railroad",1930,"06/10/2013","N",4
8,"DUTCHESS","Red Hook  (Town)","2.2 MI W JCT RTS 199+308 ","199  199 82021074","NYSDoT",1929,"10/01/2014","SD",4.949
8,"DUTCHESS","Red Hook  (Town)","2.1 MI W JCT RTS 199+308 ","199  199 82021076","NYSDoT",1949,"10/24/2013","N",5.056
8,"DUTCHESS","Red Hook  (Town)","1.3 MI N JCT RTS 9+199   ","9    9 82053221","NYSDoT",1928,"10/17/2013","N",4.612
8,"DUTCHESS","Red Hook  (Town)","3.8 MI N JCT RTS 9+199   ","9    9 82053247","NYSDoT",1928,"07/17/2013","N",4.857
8,"DUTCHESS","Red Hook  (Town)","3.2 MI S JCT RTS 9G+402  ","9G   9G82013220","NYSDoT",1931,"10/03/2013","N",5.66
8,"DUTCHESS","Red Hook  (Town)"," 1.1 MI N JCT RTS 9G &402","9G   9G82013262","NYSDoT",1986,"11/06/2013","N",6.127
8,"DUTCHESS","Red Hook  (Town)","1.8 MI NE OF BARRYTOWN   ","ASPINWALL ROAD","Town",1930,"12/02/2013","N",5.951
8,"DUTCHESS","Red Hook  (Town)","1.5 MI NE OF BARRYTOWN   ","COUNTY ROAD 103","County",1958,"07/28/2014","N",4.63
8,"DUTCHESS","Red Hook  (Town)","0.5 MI NW OF RED HOOK    ","COUNTY ROAD 79","County",1926,"06/04/2014","SD",3.473
8,"DUTCHESS","Red Hook  (Town)",".6 MI E JCT SH 9G & CR 80","COUNTY ROAD 80","County",2002,"11/20/2014","N",5.862
8,"DUTCHESS","Red Hook  (Town)","1.1 MI W OF NEVIS        ","COUNTY ROAD 80","County",1996,"05/21/2013","N",5.8
8,"DUTCHESS","Red Hook  (Town)","IN BARRYTOWN","DOCK ROAD","Railroad",1905,"12/30/2014","FO",4.667
8,"DUTCHESS","Red Hook  (Town)","1.0 MI NE OF RED HOOK    ","ECHO VALLEY ROAD","County",1924,"05/21/2013","FO",5.203
8,"DUTCHESS","Red Hook  (Town)","0.9 MI S OF TIVOLI       ","KIDD LANE","County",2006,"08/20/2014","N",5.561
8,"DUTCHESS","Red Hook  (Town)","1.0 MI N OF RED HOOK     ","MILL ROAD","County",1940,"12/03/2013","N",4.547
8,"DUTCHESS","Red Hook  (Town)","1.6 MI W OF NEVIS        ","MOORE ROAD","County",1941,"06/30/2014","FO",4.75
8,"DUTCHESS","Red Hook  (Town)","1.6 MI NE OF BARRYTOWN   ","SAW KILL ROAD","Town",1930,"07/29/2014","SD",4.438
8,"DUTCHESS","Red Hook  (Town)","0.9 MI N OF UPPR RED HOOK","SCISM ROAD","Town",1929,"04/14/2014","SD",3.417
8,"DUTCHESS","Rhinebeck  (Town)","0.5 MI W JCT RTS 308+9   ","308  308 82011018","NYSDoT",1919,"09/10/2013","N",4.414
8,"DUTCHESS","Rhinebeck  (Town)","0.2 MI E JCT RTS 308+9G  ","308  308 82011042","NYSDoT",1933,"09/24/2013","N",4.829
8,"DUTCHESS","Rhinebeck  (Town)","JCT RTS 9G+308           ","9G   9G82013164","NYSDoT",1938,"09/18/2013","N",5.322
8,"DUTCHESS","Rhinebeck  (Town)","2.1 MI N OF STAATSBURG   ","COUNTY ROAD 85","County",1954,"05/28/2013","N",5.489
8,"DUTCHESS","Rhinebeck  (Town)","2.3 MI N OF STAATSBURG   ","COUNTY ROAD 85","County",1939,"05/21/2013","N",4.972
8,"DUTCHESS","Rhinebeck  (Town)","AT RHINECLIFF STATION    ","HUTTON STREET","Town",2001,"09/07/2013","FO",5.794
8,"DUTCHESS","Rhinebeck  (Town)","1.2 MI SW OF RHINEBECK   ","MILL ROAD","County",1932,"10/23/2013","N",3.881
8,"DUTCHESS","Rhinebeck  (Town)",".2 MI NE JCT SH9G & SH308","MILLER ROAD","Town",1958,"05/06/2014","N",5.862
8,"DUTCHESS","Rhinebeck  (Town)","0.2 MI NE RTS 9<308      ","MILLER ROAD","County",1957,"06/17/2013","FO",5.429
8,"DUTCHESS","Rhinebeck  (Town)","0.8 MI S OF EIGHMYVILLE  ","WHITE SCHL HSE RD","Town",1965,"04/11/2013","N",4
8,"DUTCHESS","Rhinebeck  (Village)","AT RHINEBECK             ","PARSONAGE STREET","Town",1900,"09/23/2014","SD",4.49
8,"DUTCHESS","Stanford  (Town)","7.7 MI N JCT RTS 82+44   ","82   82 82011309","NYSDoT",1929,"05/28/2013","N",5.326
8,"DUTCHESS","Stanford  (Town)","3.1 MI S JCT SH 199 & TSP","BULLS HEAD ROAD","NYSDoT",1983,"09/27/2013","N",4.766
8,"DUTCHESS","Stanford  (Town)","IN MCINTYRE","COLD SPRING ROAD","County",1955,"08/27/2013","N",3.895
8,"DUTCHESS","Stanford  (Town)","0.2 MI W OF STANFORDVILE ","COUNTY ROAD 19","County",1929,"07/31/2014","SD",4.122
8,"DUTCHESS","Stanford  (Town)","1.0 MI SE OF MCINTYRE    ","COUNTY ROAD 65","County",1900,"04/08/2014","SD",4.224
8,"DUTCHESS","Stanford  (Town)","0.5 MI NE OF STANFORDVILE","CREAMERY ROAD","County",1960,"07/12/2013","N",4.852
8,"DUTCHESS","Stanford  (Town)","AT STANFORDVILLE         ","DEPOT LANE","County",1929,"09/03/2013","N",5.042
8,"DUTCHESS","Stanford  (Town)","0.5 MI SW OF STANFORDVILE","GRIST MILL ROAD","County",1931,"05/23/2013","N",4.333
8,"DUTCHESS","Stanford  (Town)","0.6 MI NW OF MCINTYRE    ","HOMAN ROAD","County",1969,"07/31/2014","N",5.328
8,"DUTCHESS","Stanford  (Town)","1.9 MI SW OF STANFORDVILE","JAMESON HILL ROAD","County",2006,"04/11/2013","N",6.793
8,"DUTCHESS","Stanford  (Town)","2.1 MI NE OF MCINTYRE    ","LAYTON ROAD","Town",1970,"04/09/2013","N",5.474
8,"DUTCHESS","Stanford  (Town)","1.9 MI SW OF STANFORDVLLE","SALT PT TURNPIKE","County",1937,"10/14/2013","FO",4.778
8,"DUTCHESS","Stanford  (Town)","1.9 MI SW OF STANFORDVLLE","SALT PT TURNPIKE","County",1939,"09/12/2013","SD",4.469
8,"DUTCHESS","Tivoli  (Village)","0.4 MI NW JCT RT 9 CR78","COUNTY ROAD 78","County",1929,"11/12/2013","FO",4.551
8,"DUTCHESS","Union Vale  (Town)","2.8 MI E JCT RTE 55+TSP  ","55   55 82032096","NYSDoT",1939,"09/10/2013","FO",5.114
8,"DUTCHESS","Union Vale  (Town)","5.5 MI N JCT RTS 82+55   ","82   82 82011168","NYSDoT",1929,"05/09/2013","N",4.389
8,"DUTCHESS","Union Vale  (Town)","1.7 MI SW OF CLOVE       ","COUNTY ROAD 21","County",1974,"07/31/2013","N",5.203
8,"DUTCHESS","Union Vale  (Town)","1.1 MI SW OF CLOVE       ","COUNTY ROAD 21","County",1939,"05/06/2013","SD",4.034
8,"DUTCHESS","Union Vale  (Town)","1.2 MI SW OF CLOVE       ","COUNTY ROAD 21","County",1939,"07/31/2013","SD",4.051
8,"DUTCHESS","Union Vale  (Town)","0.4 MI. NE OF VERBANK    ","ON-THE-GREEN ROAD","Town",1987,"07/08/2013","N",5.211
8,"DUTCHESS","Union Vale  (Town)","0.7 MI W OF VERBANK      ","VERBANK VLG ROAD","County",1938,"07/31/2013","FO",4.339
8,"DUTCHESS","Union Vale  (Town)","3 MILES NW OF CLOVE VALLE","WISSEMAN ROAD","Town",2011,"04/14/2014","N",7
8,"DUTCHESS","Wappinger  (Town)","3.1 MI N JCT RTS 376+82  ","376  376 82011054","NYSDoT",1962,"12/10/2013","FO",5.5
8,"DUTCHESS","Wappinger  (Town)","2.5MI SE OF NEW HACKENSAC","376  376 82011075","NYSDoT",1982,"04/18/2013","N",4.971
8,"DUTCHESS","Wappinger  (Town)","1.9 MI N JCT SH 52 & SH82","82   82 82011019","NYSDoT",1934,"06/18/2014","N",5.806
8,"DUTCHESS","Wappinger  (Town)","5.4 MI N JCT RTS 9 & 52  ","9    9 82051087","NYSDoT",1990,"07/14/2014","N",4.862
8,"DUTCHESS","Wappinger  (Town)","5.8 MI N.JCT 9D+I84      ","9D   9D82033059","NYSDoT",1984,"04/30/2013","N",5.761
8,"DUTCHESS","Wappinger  (Town)"," 2.2 MI W OF HOPEWELL JCT","BROWN ROAD","County",1986,"04/18/2013","N",5.179
8,"DUTCHESS","Wappinger  (Town)","0.2 MI NW INT CR104/CR110","COUNTY ROAD 110","County",1969,"05/15/2013","N",5
8,"DUTCHESS","Wappinger  (Town)","1 MI W OF NEW HACKENSACK","COUNTY ROAD 110","County",1955,"09/03/2013","FO",4.825
8,"DUTCHESS","Wappinger  (Town)","0.5MI E OF HUGHSONVILLE  ","COUNTY ROAD 28","County",1984,"05/24/2013","N",6
8,"DUTCHESS","Wappinger  (Town)","2.1 MI N OF BRINCKERHOFF ","COUNTY ROAD 28","County",1966,"05/16/2013","FO",5.255
8,"DUTCHESS","Wappinger  (Town)","1.0 MI N.OF HUGHSONVILLE ","COUNTY ROAD 91","County",1986,"05/16/2013","N",5.538
8,"DUTCHESS","Wappinger  (Town)","IN THE TOWN OF WAPPINGER ","MONTFORT ROAD","County",1995,"06/18/2014","FO",6.415
8,"DUTCHESS","Wappinger  (Town)","2.4 MI SE OF NEW HACKSACK","ROBINSON LANE","County",1993,"04/10/2013","N",5.463
8,"DUTCHESS","Wappingers Falls  (Village)","1.2 MI S JCT RTS 9D+9    ","9D   9D82033070","NYSDoT",1884,"09/18/2013","FO",4.947
8,"DUTCHESS","Wappingers Falls  (Village)","VILLAGE WAPPINGER FALLS  ","MCKINLEY STREET","Village",1999,"10/29/2013","N",5.2
8,"DUTCHESS","Washington  (Town)","1.4 MI E JCT RTE 44+TSP  ","44   44 82022109","NYSDoT",1939,"12/18/2013","N",5.222
8,"DUTCHESS","Washington  (Town)","1.3 MI E JCT RTE 44+TSP  ","44   44 82022109","NYSDoT",1939,"12/18/2013","N",5.222
8,"DUTCHESS","Washington  (Town)","0.8 MI NW OF MILLBROOK   ","44A  44A82011020","NYSDoT",1989,"11/01/2013","N",5.524
8,"DUTCHESS","Washington  (Town)","2.0 MI NW OF MILLBROOK   ","CANOE HILL ROAD","County",1968,"06/11/2013","N",4.762
8,"DUTCHESS","Washington  (Town)","2.5 MI W OF AMENIA       ","COUNTY ROAD 86","County",1929,"10/09/2013","N",5.41
8,"DUTCHESS","Washington  (Town)","2.5 MI W OF MILLBROOK    ","FOWLER ROAD","County",1979,"04/16/2013","N",5.196
8,"DUTCHESS","Washington  (Town)","1.1 MI SE OF HIBERNIA    ","NARDONE ROAD","County",1939,"10/29/2014","SD",4.236
8,"DUTCHESS","Washington  (Town)","2.5 MILES SW OF MILLBROOK","TYRELL ROAD","County",1992,"05/22/2013","N",5.314
8,"DUTCHESS","Washington  (Town)","2.4 MI SW OF MILLBROOK   ","VERBANK ROAD","County",1931,"04/01/2013","N",4.271
5,"ERIE","Akron  (Village)","2.1 MI N JCT RTS 5 + 93  ","93   93 53021046","NYSDoT",1932,"07/14/2014","N",5.935
5,"ERIE","Akron  (Village)","0.2 MI S JCT RTS 93 + 267","93   93 53021056","NYSDoT",1960,"07/14/2014","SD",4.828
5,"ERIE","Akron  (Village)","IN AKRON FALLS COUNTY PRK","AKRON PK SERV RD","County",2013,"12/03/2013","N",7
5,"ERIE","Akron  (Village)","SE CORNER OF AKRON       ","AKRON-CRITTENDEN","County",1958,"05/30/2013","N",4.264
5,"ERIE","Akron  (Village)","1.4 MI N JCT SH 5 & SH 93","BROOKLYN STREET","County",1957,"06/26/2014","SD",4.031
5,"ERIE","Akron  (Village)","IN AKRON FALLS PARK      ","PARKVIEW DRIVE","County",1933,"09/16/2014","N",5.878
5,"ERIE","Akron  (Village)","1.5 MI NE JCT 93'5       ","STATE STREET","Village",1938,"06/04/2014","SD",3.161
5,"ERIE","Alden  (Town)","7.4 MI E JCT SH 33 & SH78","33   33 53012128","NYSDoT",1960,"05/13/2013","N",4.571
5,"ERIE","Alden  (Town)","4.6 MI WSW JCT RTE 33& CL","952Q 952Q53011129","NYSDoT",1991,"07/19/2013","N",6.119
5,"ERIE","Alden  (Town)",".2 MI S JCT SH 33 & CR 1 ","ALDEN CRTTNDEN RD","County",1990,"12/22/2014","N",5.483
5,"ERIE","Alden  (Town)","1 MILE NORTH OF ALDEN","ALDEN-CRITTENDEN","County",1964,"07/23/2014","N",4.703
5,"ERIE","Alden  (Town)",".9 MI SE OF MILL GROVE   ","FARM ROAD","State - Other",1991,"06/07/2013","N",5.794
5,"ERIE","Alden  (Town)","1.1 MI SE JCT 20'358     ","FOUR ROD ROAD","County",1954,"09/09/2014","N",5.38
5,"ERIE","Alden  (Town)","3.5 MI WEST OF CRITTENDEN","NORTH MILLGROVE R","County",1983,"06/11/2014","N",4.556
5,"ERIE","Alden  (Town)","1 MILE NORTH OF ALDEN","NORTH ROAD","County",1995,"06/03/2014","N",6.585
5,"ERIE","Alden  (Town)","1 MILE NORTH OF ALDEN","NORTH ROAD","County",1995,"06/03/2014","N",6.244
5,"ERIE","Alden  (Town)","1.6 MILES NE OF ALDEN","NORTH ROAD/CR 166","County",1981,"06/03/2014","N",5
5,"ERIE","Alden  (Town)","1.8 MILES NW OF ALDEN","SANDRIDGE ROAD","County",1990,"09/10/2014","N",5.825
5,"ERIE","Alden  (Town)","1.8 MI SE JCT US20 &SH358","THREE ROD ROAD","County",1960,"09/09/2014","N",5.488
5,"ERIE","Alden  (Town)",".9 MILE NORTH OF TWN LINE","TOWN LINE ROAD","County",1987,"06/11/2014","SD",5.415
5,"ERIE","Alden  (Town)",".7 MILE SOUTH OF TOWNLINE","TOWN LINE ROAD","County",1959,"08/27/2014","N",4.444
5,"ERIE","Alden  (Town)","3.7 MI NW OF NW QUAD ALDN","TOWN LINE ROAD","County",1928,"08/27/2014","N",5.04
5,"ERIE","Alden  (Town)","IN ALDEN","TWO ROD ROAD","County",1998,"09/09/2014","FO",5.913
5,"ERIE","Alden  (Town)","2.2 MI NW OF N QUAD ALDEN","WENDE ROAD","County",1983,"09/30/2013","N",5.098
5,"ERIE","Alden  (Town)","4.2 MI NW OF NW QUAD ALDN","ZOELLER ROAD","County",2004,"09/10/2014","N",6.293
5,"ERIE","Alden  (Village)",".6 MILE NORTH OF ALDEN","ALDEN-CRITTENDEN","County",2010,"10/09/2014","N",6.867
5,"ERIE","Amherst  (Town)","0.6MI NE JCT.290I & 263  ","263  263 53011023","NYSDoT",1987,"07/19/2013","N",5.778
5,"ERIE","Amherst  (Town)","0.8 MI SW INT RT 263 +270","263  263 53011038","NYSDoT",1980,"06/16/2014","N",6.164
5,"ERIE","Amherst  (Town)","2.6MI SW JCT RTS 263 & 78","263  263 53011076","NYSDoT",1990,"08/04/2014","N",5.84
5,"ERIE","Amherst  (Town)","JCT RTE 270 + BARGE CANAL","270  270 53011037","NYSDoT",2009,"10/08/2013","N",7
5,"ERIE","Amherst  (Town)","JCT RT 277 + I-98        ","277  277 53011197","NYS Thruway Authority",1954,"10/08/2014","FO",4.361
5,"ERIE","Amherst  (Town)","1.0 MI NW JCT RT 263+290I","290I 209I53011058","NYSDoT",1983,"07/16/2013","N",5.714
5,"ERIE","Amherst  (Town)","1.0 MI NW JCT RT 263+290I","290I 290I53011058","NYSDoT",1983,"07/16/2013","N",5.464
5,"ERIE","Amherst  (Town)","1.7 MI NW INT RTS263+I290","290I 290I53011062","NYSDoT",1982,"03/20/2013","N",5.641
5,"ERIE","Amherst  (Town)","1.7 MI NW INT RTS263+I290","290I 290I53011062","NYSDoT",1982,"03/20/2013","N",5.313
5,"ERIE","Amherst  (Town)","0.5 MI W JCT RT 263 +I290","290I 290I53011065","NYSDoT",1965,"06/16/2014","N",5.297
5,"ERIE","Amherst  (Town)","JCT RT 263 + I-290       ","290I 290I53011069","NYSDoT",1964,"08/19/2014","FO",5
5,"ERIE","Amherst  (Town)","JCT RT 263 + I-290       ","290I 290I53011069","NYSDoT",1964,"08/19/2014","FO",4.969
5,"ERIE","Amherst  (Town)","JCT RT 324 + I-290       ","290I 290I53011076","NYSDoT",1964,"09/23/2014","FO",4.328
5,"ERIE","Amherst  (Town)","JCT RT 324 + I-290       ","290I 290I53011076","NYSDoT",1964,"09/23/2014","FO",4.531
5,"ERIE","Amherst  (Town)","JCT I-290 + I-90         ","290I 290I53073H01","NYSDoT",1964,"08/04/2014","FO",4.766
5,"ERIE","Amherst  (Town)","1 MI NW JCT SH 263 & I290","290I SB TO 990IEB","NYSDoT",1983,"08/20/2013","FO",5.569
5,"ERIE","Amherst  (Town)","JCT I90 & I290 - EXIT 50","290I X","NYS Thruway Authority",1953,"09/16/2014","FO",4.125
5,"ERIE","Amherst  (Town)","1.4 MI SW JCT I90 & SH277","290IX EB RAMP TO","NYS Thruway Authority",1953,"08/01/2014","FO",4.986
5,"ERIE","Amherst  (Town)","0.1MI E.JCT RT 324 & 277 ","324  324 53021161","NYSDoT",1989,"08/04/2014","N",5.83
5,"ERIE","Amherst  (Town)","JCT STATE HWYS 324 & 78  ","324  324 53021196","NYSDoT",1998,"10/16/2014","N",5.7
5,"ERIE","Amherst  (Town)","JCT RTS 5 + I-290        ","5    5 53024025","NYSDoT",1963,"12/03/2014","N",4.953
5,"ERIE","Amherst  (Town)","JCT US 62 & BARGE CANAL","62   62 53034068","NYSDoT",1988,"08/14/2014","N",5.662
5,"ERIE","Amherst  (Town)","4.6 MI S JCT RTS 78 & 263","78   78 53021287","NYSDoT",2000,"06/11/2014","N",6.17
5,"ERIE","Amherst  (Town)","3.4 MI S JCT RTS 78 & 263","78   78 53021299","NYSDoT",1993,"03/19/2014","N",5.733
5,"ERIE","Amherst  (Town)","2.5 MI S JCT RTS 78 + 263","78   78 53021307","NYSDoT",1919,"08/19/2014","N",4.222
5,"ERIE","Amherst  (Town)","0.2 MI N JCT RTS 78 & 263","78   78 53021335","NYSDoT",1998,"05/20/2013","N",6.627
5,"ERIE","Amherst  (Town)","6.4 MI W JCT I90 < RTE 78","90I X","NYS Thruway Authority",1953,"09/05/2014","N",4.789
5,"ERIE","Amherst  (Town)","5.3 MI W JCT I90 < RTE 78","90I X","NYS Thruway Authority",1952,"10/31/2014","N",4.69
5,"ERIE","Amherst  (Town)","1.5 MI SW JCT I90 & SH277","90IX  RAMP TO 290","NYS Thruway Authority",1953,"09/24/2014","FO",4.764
5,"ERIE","Amherst  (Town)","0.2 MI N RTE 990 OVERPASS","952T 952T53011022","NYSDoT",1985,"04/21/2014","N",5.766
5,"ERIE","Amherst  (Town)","1.5 MI N JCT RTS 290I+263","990I 990I53011003","NYSDoT",1983,"04/15/2013","N",5.609
5,"ERIE","Amherst  (Town)","1.5 MI W JCT RTS 290I+263","990I 990I53011004","NYSDoT",1983,"04/15/2013","N",5.688
5,"ERIE","Amherst  (Town)","1.5 MI N INT  I990 & I290","990I 990I53011013","NYSDoT",1984,"04/04/2013","N",5.906
5,"ERIE","Amherst  (Town)","1.5 MI N INT  I990 & I290","990I 990I53011014","NYSDoT",1984,"03/22/2013","N",5.75
5,"ERIE","Amherst  (Town)","1.7MI N INT RTS I990&I290","990I 990I53011017","NYSDoT",1984,"08/14/2013","N",5.789
5,"ERIE","Amherst  (Town)","1.7MI N INT RTS I990&I290","990I 990I53011017","NYSDoT",1984,"08/16/2013","N",5.789
5,"ERIE","Amherst  (Town)","1.2 MI W JCT RTS 990I&270","990I 990I53011019","NYSDoT",1984,"03/21/2013","N",5.781
5,"ERIE","Amherst  (Town)","1.1 MI W JCT RTS 990I&270","990I 990I53011020","NYSDoT",1984,"03/21/2013","N",5.781
5,"ERIE","Amherst  (Town)","0.8 MI W JCT RTS 990I&270","990I 990I53011023","NYSDoT",1984,"04/15/2013","N",5.578
5,"ERIE","Amherst  (Town)","0.8 MI W JCT RTS 990I&270","990I 990I53011023","NYSDoT",1984,"04/15/2013","N",5.766
5,"ERIE","Amherst  (Town)","JCT.990I + AUDUBON PARKWY","990I 990I53011031","NYSDoT",1984,"04/22/2013","N",5.594
5,"ERIE","Amherst  (Town)","JCT.990I + AUDUBON PARKWY","990I 990I53011031","NYSDoT",1984,"04/22/2013","N",5.766
5,"ERIE","Amherst  (Town)","0.6MI W RT263 & COUNTY299","990I 990I53011038","NYSDoT",1990,"07/17/2014","N",6.381
5,"ERIE","Amherst  (Town)","0.6MI W RT263 & COUNTY299","990I 990I53011039","NYSDoT",1990,"07/17/2014","N",6.619
5,"ERIE","Amherst  (Town)","1.2 MI E JCT 62 & I-290  ","990I 990I53513A01","NYSDoT",1982,"07/18/2013","N",5.792
5,"ERIE","Amherst  (Town)","1.2 MI E JCT 62 & I-290  ","990I M00 53513B01","NYSDoT",1982,"07/18/2013","N",6.056
